title,make,model,year,condition,transmission,price
Lexus ES 2012 Black,Lexus,ES,2012,local used,automatic,"₦ 9,800,000"
Hyundai Elantra 2017 Red,Hyundai,Elantra,2017,foreign used,automatic,"₦ 14,800,000"
Honda Civic EX 4dr Sedan (1.8L 4cyl CVT) 2015 Silver,Honda,Civic EX,2015,foreign used,automatic,"₦ 12,300,000"
Lexus RX 2010 Black,Lexus,RX,2010,foreign used,automatic,"₦ 19,300,000"
Honda Accord Sedan LX 2010 Black,Honda,Accord Sedan,2010,local used,automatic,"₦ 4,650,000"
Honda CR-V EX 4dr SUV (2.4L 4cyl CVT) 2016 Blue,Honda,CR-V EX,2016,foreign used,automatic,"₦ 22,150,000"
Toyota Camry 2014 Silver,Toyota,Camry,2014,foreign used,automatic,"₦ 13,650,000"
Toyota Camry 1998 Green,Toyota,Camry,1998,local used,automatic,"₦ 1,900,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2016 Matt Black,Toyota,Camry XLE,2016,foreign used,automatic,"₦ 18,500,000"
Kia Optima LX 4dr Sedan (2.4L 4cyl 6A) 2014 Silver,Kia,Optima LX,2014,foreign used,automatic,"₦ 9,000,000"
New Land Rover Range Rover Sport 2025 Black,New,Land Rover,2025,brand new,automatic,"₦ 265,000,000"
Honda Accord Crosstour EX-L w/Navigation 2013 Black,Honda,Accord Crosstour,2013,foreign used,automatic,"₦ 13,850,000"
Lexus IS 250 2009 Silver,Lexus,IS 250,2009,foreign used,automatic,"₦ 9,900,000"
Lexus IS 2009 Silver,Lexus,IS,2009,foreign used,automatic,"₦ 10,500,000"
Audi RS7 2018 Green,Audi,RS7,2018,local used,automatic,"₦ 16,999,999"
Toyota RAV4 LE 4dr SUV AWD (2.5L 4cyl 6A) 2015 Gray,Toyota,RAV4 LE,2015,foreign used,automatic,"₦ 21,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2016 Black,Toyota,Camry LE,2016,foreign used,automatic,"₦ 14,999,999"
New Arcfox alphaS5 530hp AWD 2025 Gray,New,Arcfox alphaS5,2025,brand new,automatic,"₦ 65,000,000"
Toyota Camry L FWD (2.5L 4cyl 8AM) 2018 Black,Toyota,Camry L,2018,foreign used,automatic,"₦ 21,000,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,Toyota,Avalon XLE,2014,foreign used,automatic,"₦ 18,000,000"
Honda Accord Touring 4dr Sedan FWD (3.5L 6cyl 6A) 2016 Gray,Honda,Accord Touring,2016,foreign used,automatic,"₦ 18,500,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2024 Gray,Mercedes-Benz,GLE-Class AMG,2024,foreign used,automatic,"₦ 370,000,000"
BMW X5 sDrive40i Sports Activity Vehicle 2025 Black,BMW,X5 sDrive40i,2025,foreign used,automatic,"₦ 140,000,000"
Hyundai Sonata 2012 Blue,Hyundai,Sonata,2012,local used,automatic,"₦ 8,000,000"
Toyota RAV4 2009 Black,Toyota,RAV4,2009,local used,automatic,"₦ 8,900,000"
Honda CR-V 2008 Black,Honda,CR-V,2008,local used,automatic,"₦ 6,900,000"
Toyota Highlander 2017 Gray,Toyota,Highlander,2017,foreign used,automatic,"₦ 28,000,000"
Toyota Fortuner 2018 Black,Toyota,Fortuner,2018,foreign used,automatic,"₦ 38,700,000"
Toyota Hilux 2020 White,Toyota,Hilux,2020,local used,automatic,"₦ 46,500,000"
Mercedes-Benz M Class 2015 Gray,Mercedes-Benz,M Class,2015,local used,automatic,"₦ 20,500,000"
Toyota Venza 2012 White,Toyota,Venza,2012,local used,automatic,"₦ 9,200,000"
Toyota Camry 2005 Silver,Toyota,Camry,2005,local used,automatic,"₦ 4,500,000"
Honda Accord 2006 Black,Honda,Accord,2006,local used,automatic,"₦ 2,700,000"
Toyota Tacoma 2003 White,Toyota,Tacoma,2003,local used,manual,"₦ 4,500,000"
Honda Accord 2009 Gray,Honda,Accord,2009,local used,automatic,"₦ 5,600,000"
Mercedes-Benz M Class ML400 4MATIC 4dr SUV AWD (3.0L 6cyl Turbo 7A),,,,foreign used,automatic,"₦ 29,500,000"
Toyota Highlander XLE 2019 Black,Toyota,Highlander XLE,2019,foreign used,automatic,"₦ 35,000,000"
Honda Accord Automatic 2005 Black,Honda,Accord Automatic,2005,local used,automatic,"₦ 2,950,000"
Toyota Highlander Limited 2011 Green,Toyota,Highlander Limited,2011,foreign used,automatic,"₦ 16,000,000"
Honda CR-V 2.0i LS Automatic 2005 Silver,Honda,CR-V 2,2005,local used,automatic,"₦ 3,150,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2011 Gray,Toyota,Camry SE,2011,local used,automatic,"₦ 9,700,000"
Toyota Camry 2.4 LE 2008 Gray,Toyota,Camry 2,2008,local used,automatic,"₦ 6,500,000"
New Toyota Camry XLE V6 Auto 2024 Black,New,Toyota Camry,2024,brand new,automatic,"₦ 98,000,000"
Lexus RX 2007 Black,Lexus,RX,2007,foreign used,automatic,"₦ 11,500,000"
Toyota Tundra Platinum CrewMax 4WD SB w/6.5' Bed 2025 Black,Toyota,Tundra Platinum,2025,foreign used,automatic,"₦ 140,000,000"
New Rolls-Royce Cullinan 2025 Black,New,Rolls-Royce Cullinan,2025,brand new,automatic,"₦ 1,390,000,000"
Volkswagen Tiguan S with Sunroof 2013 White,Volkswagen,Tiguan S,2013,local used,automatic,"₦ 8,000,000"
Toyota RAV4 XLE AWD (2.5L 4cyl 6A) 2017 Silver,Toyota,RAV4 XLE,2017,foreign used,automatic,"₦ 28,000,000"
Honda CR-V Touring 4dr SUV (2.4L 4cyl CVT) 2015 Blue,Honda,CR-V Touring,2015,foreign used,automatic,"₦ 19,475,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014 Gray,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 22,000,000"
Mercedes-Benz AMG GT GT 53 4MATIC+ (4 dr) 2020 White,Mercedes-Benz,AMG GT,2020,foreign used,automatic,"₦ 80,000,000"
Toyota Camry SE 2025 White,Toyota,Camry SE,2025,foreign used,automatic,"₦ 80,000,000"
Dodge Challenger GT 2023 Orange,Dodge,Challenger GT,2023,foreign used,automatic,"₦ 105,000,000"
New Cadillac Escalade 2025 Black,New,Cadillac Escalade,2025,brand new,automatic,"₦ 870,000,000"
Toyota Highlander LE Plus 4dr SUV AWD (3.5L 6cyl 6A) 2014 Black,Toyota,Highlander LE,2014,local used,automatic,"₦ 11,500,000"
Hyundai Sonata 2013 Black,Hyundai,Sonata,2013,local used,automatic,"₦ 7,800,000"
Honda CR-V 2009 Burgundy,Honda,CR-V,2009,local used,automatic,"₦ 6,200,000"
Lexus RX 2017 White,Lexus,RX,2017,foreign used,automatic,"₦ 45,500,000"
Toyota Camry 2000 Gold,Toyota,Camry,2000,local used,automatic,"₦ 2,900,000"
Honda CR-V 2002 Silver,Honda,CR-V,2002,local used,automatic,"₦ 2,500,000"
Lexus ES 2013 Gray,Lexus,ES,2013,local used,automatic,"₦ 15,500,000"
Toyota Corolla 2017 Black,Toyota,Corolla,2017,foreign used,automatic,"₦ 17,800,000"
Toyota Land Cruiser 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 38,000,000"
Toyota Corolla S w/Special Edition Pkg (1.8L 4cyl CVT) 2016 Blue,Toyota,Corolla S,2016,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2015 Blue,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 25,000,000"
Toyota Venza XLE 4dr Wagon (3.5L 6cyl 6A) 2014 Black,Toyota,Venza XLE,2014,foreign used,automatic,"₦ 23,500,000"
Toyota Camry XSE 2025 Gray,Toyota,Camry XSE,2025,foreign used,automatic,"₦ 70,000,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.0L 6cyl 7A) 2012 Black,Mercedes-Benz,C300 Sport,2012,foreign used,automatic,"₦ 15,300,000"
Toyota Matrix S Hatchback FWD (2.4L 4cyl 5A) 2010 Gold,Toyota,Matrix S,2010,foreign used,automatic,"₦ 11,500,000"
Lexus RX 350 F Sport AWD 2017 Green,Lexus,RX 350,2017,foreign used,automatic,"₦ 58,500,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 Blue,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 59,000,000"
New Lexus LX 2024 Black,New,Lexus LX,2024,brand new,automatic,"₦ 490,000,000"
Toyota Camry 2016 Black,Toyota,Camry,2016,local used,automatic,"₦ 13,000,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,local used,automatic,"₦ 6,200,000"
Toyota Camry 2022 Black,Toyota,Camry,2022,foreign used,automatic,"₦ 23,000,000"
Lexus RX 2017 Beige,Lexus,RX,2017,foreign used,automatic,"₦ 43,500,000"
Toyota Corolla 2010 Red,Toyota,Corolla,2010,local used,automatic,"₦ 6,000,000"
Pontiac Vibe Automatic 2004 Gray,Pontiac,Vibe Automatic,2004,local used,automatic,"₦ 4,500,000"
Toyota Highlander 2020 Blue,Toyota,Highlander,2020,foreign used,automatic,"₦ 41,000,000"
Lexus IS 250 2009 White,Lexus,IS 250,2009,local used,automatic,"₦ 6,900,000"
Toyota Venza 2016 Black,Toyota,Venza,2016,foreign used,automatic,"₦ 18,000,000"
Mitsubishi RVR 2014 Silver,Mitsubishi,RVR,2014,foreign used,automatic,"₦ 9,800,000"
Ford Explorer Base 4dr 4x4 (3.5L 6cyl 6A) 2013 Black,Ford,Explorer Base,2013,foreign used,automatic,"₦ 13,250,000"
Lexus RX 350 2010 Gray,Lexus,RX 350,2010,foreign used,automatic,"₦ 18,500,000"
Mitsubishi L200 2008 White,Mitsubishi,L200,2008,local used,manual,"₦ 5,500,000"
Kia Optima SX 4dr Sedan (2.0L 4cyl 6A) 2011 Black,Kia,Optima SX,2011,foreign used,automatic,"₦ 13,000,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2012 Black,Mercedes-Benz,E350 Base,2012,local used,automatic,"₦ 9,850,000"
Toyota Highlander Limited V6 2006 Silver,Toyota,Highlander Limited,2006,foreign used,automatic,"₦ 12,900,000"
Toyota Sienna XLE AWD 7-Passenger 2013 Gray,Toyota,Sienna XLE,2013,foreign used,automatic,"₦ 17,500,000"
Lexus IS 250 AWD Automatic 2010 Red,Lexus,IS 250,2010,foreign used,automatic,"₦ 13,300,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2014 Gray,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 21,700,000"
Mercedes-Benz C400 4Matic AWD Sedan (3.0L V6 7A) 2015 Black,Mercedes-Benz,C400 4Matic,2015,foreign used,automatic,"₦ 26,800,000"
Toyota Highlander Limited 3.5l 4WD 2013 White,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 18,000,000"
Toyota Corolla 2014 Gray,Toyota,Corolla,2014,foreign used,automatic,"₦ 14,900,000"
Mercedes-Benz E53 AMG AMG E 53 4MATIC+ 2018 Gray,Mercedes-Benz,E53 AMG,2018,foreign used,automatic,"₦ 110,000,000"
Toyota Venza LE AWD 2013 White,Toyota,Venza LE,2013,foreign used,automatic,"₦ 20,000,000"
Honda Accord Crosstour 2010 Black,Honda,Accord Crosstour,2010,local used,automatic,"₦ 5,300,000"
Toyota Camry 2010 Gold,Toyota,Camry,2010,local used,automatic,"₦ 6,700,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,local used,automatic,"₦ 4,300,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 31,500,000"
Lexus RX 2009 Blue,Lexus,RX,2009,foreign used,automatic,"₦ 12,800,000"
Honda Civic 2008 Blue,Honda,Civic,2008,local used,automatic,"₦ 4,500,000"
Toyota Land Cruiser Prado 2015 Black,Toyota,Land Cruiser,2015,local used,automatic,"₦ 35,600,000"
Lexus RX 2009 Burgundy,Lexus,RX,2009,local used,automatic,"₦ 8,600,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,foreign used,automatic,"₦ 14,500,000"
Lexus RX 2013 Blue,Lexus,RX,2013,foreign used,automatic,"₦ 23,500,000"
Toyota Camry 2013 Silver,Toyota,Camry,2013,foreign used,automatic,"₦ 14,050,000"
Toyota Sienna 2010 Black,Toyota,Sienna,2010,local used,automatic,"₦ 8,900,000"
Ford Explorer 2015 White,Ford,Explorer,2015,local used,automatic,"₦ 12,000,000"
Honda Accord 2006 Gray,Honda,Accord,2006,local used,automatic,"₦ 4,000,000"
Toyota Avensis 2005 Red,Toyota,Avensis,2005,local used,automatic,"₦ 5,000,000"
Toyota Highlander Limited V6 2006 Green,Toyota,Highlander Limited,2006,foreign used,automatic,"₦ 12,650,000"
Lexus ES 2006 Silver,Lexus,ES,2006,foreign used,automatic,"₦ 9,200,000"
Nissan Pathfinder SE 2004 Gray,Nissan,Pathfinder SE,2004,local used,automatic,"₦ 3,050,000"
Lexus GX 460 Luxury 2015 Black,Lexus,GX 460,2015,local used,automatic,"₦ 29,500,000"
Lexus GS 300 AWD 2006 Blue,Lexus,GS 300,2006,local used,automatic,"₦ 7,500,000"
Honda Crosstour 3.5 FWD 2013 Black,Honda,Crosstour 3,2013,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 White,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 148,500,000"
New Toyota Hilux 2024 Black,New,Toyota Hilux,2024,brand new,automatic,"₦ 123,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2011 Black,Toyota,Corolla LE,2011,foreign used,automatic,"₦ 10,800,000"
Mercedes-Benz E300 4Matic AWD Sedan (2.0L 4cyl 9A) 2017 Gray,Mercedes-Benz,E300 4Matic,2017,foreign used,automatic,"₦ 29,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Black,Toyota,Corolla LE,2010,local used,automatic,"₦ 7,200,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry LE,2015,foreign used,automatic,"₦ 14,500,000"
Toyota Corolla 1.4 D-4D Automatic 2005 Blue,Toyota,Corolla 1,2005,local used,automatic,"₦ 6,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2012 Off white,Toyota,Camry SE,2012,local used,automatic,"₦ 10,000,000"
Mercedes-Benz C300 2017 White,Mercedes-Benz,C300,2017,foreign used,automatic,"₦ 23,500,000"
Mercedes-Benz G-Class G 63 AMG 2023 Gray,Mercedes-Benz,G-Class G,2023,foreign used,automatic,"₦ 390,000,000"
New Lexus RX 350 Premium AWD 2025 White,New,Lexus RX,2025,brand new,automatic,"₦ 140,000,000"
Acura ZDX Base AWD 2010 Black,Acura,ZDX Base,2010,local used,automatic,"₦ 5,800,000"
Toyota C-HR Nightshade 2021 Black,Toyota,C-HR Nightshade,2021,foreign used,automatic,"₦ 28,600,000"
Toyota Corolla 2005 Gray,Toyota,Corolla,2005,local used,automatic,"₦ 5,500,000"
Kia Rio Sedan 2005 Black,Kia,Rio Sedan,2005,local used,manual,"₦ 3,450,000"
Toyota Corolla 1.8 VVTL-i TS 2006 Blue,Toyota,Corolla 1,2006,local used,automatic,"₦ 6,000,000"
Pontiac Vibe 1.8 AWD 2005 Red,Pontiac,Vibe 1,2005,foreign used,automatic,"₦ 7,250,000"
Toyota Venza LE AWD V6 2013 Silver,Toyota,Venza LE,2013,foreign used,automatic,"₦ 21,000,000"
Mercedes-Benz C300 Luxury Sedan RWD (2.0L 4cyl 7A) 2017 Gray,Mercedes-Benz,C300 Luxury,2017,foreign used,automatic,"₦ 18,850,000"
Mercedes-Benz S-Class S 600 L (V221) 2010 Black,Mercedes-Benz,S-Class S,2010,local used,automatic,"₦ 18,850,000"
Mercedes-Benz E350 2020 Black,Mercedes-Benz,E350,2020,foreign used,automatic,"₦ 74,500,000"
Audi Q7 4.2 Prestige Quattro 2010 Blue,Audi,Q7 4,2010,foreign used,automatic,"₦ 11,500,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2016 Black,Mercedes-Benz,CLA-Class CLA,2016,local used,automatic,"₦ 14,000,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2012 Black,Acura,MDX Technology,2012,foreign used,automatic,"₦ 9,800,000"
Ford Explorer Limited 2021 Silver,Ford,Explorer Limited,2021,foreign used,automatic,"₦ 49,000,000"
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 Blue,Toyota,Highlander XLE,2016,foreign used,automatic,"₦ 26,800,000"
Lexus ES 350 2009 White,Lexus,ES 350,2009,local used,automatic,"₦ 9,500,000"
Lexus ES 350 2008 Silver,Lexus,ES 350,2008,local used,automatic,"₦ 8,999,999"
Honda Accord 2017 Black,Honda,Accord,2017,foreign used,automatic,"₦ 16,800,000"
Toyota Corolla 2006 Green,Toyota,Corolla,2006,local used,automatic,"₦ 4,200,000"
Lexus ES 350 2011 Silver,Lexus,ES 350,2011,local used,automatic,"₦ 8,700,000"
Lexus RX 2000 Gold,Lexus,RX,2000,local used,automatic,"₦ 2,750,000"
Toyota Highlander 2023 Gray,Toyota,Highlander,2023,local used,automatic,"₦ 42,000,000"
Lexus RX 2001 White,Lexus,RX,2001,local used,automatic,"₦ 3,900,000"
Toyota RAV4 2014 Gray,Toyota,RAV4,2014,local used,automatic,"₦ 14,500,000"
Hyundai Sonata 2013 Black,Hyundai,Sonata,2013,foreign used,automatic,"₦ 10,200,000"
Lexus ES 350 2010 Black,Lexus,ES 350,2010,local used,automatic,"₦ 8,000,000"
Toyota 4-Runner Limited 4dr 4x2 (4.0L 6cyl 5A) 2016 Gray,Toyota,4-Runner Limited,2016,local used,automatic,"₦ 27,550,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Black,Toyota,Corolla LE,2012,foreign used,automatic,"₦ 9,020,000"
Mercedes-Benz GLE-Class GLE 350 2023 Red,Mercedes-Benz,GLE-Class GLE,2023,foreign used,automatic,"₦ 132,000,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (2.0L 4cyl 7A) 2016 Silver,Mercedes-Benz,C300 Luxury,2016,foreign used,automatic,"₦ 23,450,000"
Lexus GX 460 Luxury 2020 Blue,Lexus,GX 460,2020,foreign used,automatic,"₦ 85,800,000"
Lexus GX 470 Sport Utility 2008 Green,Lexus,GX 470,2008,local used,automatic,"₦ 11,850,000"
Porsche Cayenne GTS Tiptronic 2010 Red,Porsche,Cayenne GTS,2010,local used,automatic,"₦ 9,999,999"
Audi A4 1.8 TSFI 2011 Gray,Audi,A4 1,2011,local used,automatic,"₦ 7,000,000"
Toyota Corolla LE 2022 Black,Toyota,Corolla LE,2022,foreign used,automatic,"₦ 28,500,000"
Land Rover Range Rover Vogue 2013 Black,Land,Rover Range,2013,local used,automatic,"₦ 32,000,000"
New Arcfox alphaS5 530hp AWD 2025 White,New,Arcfox alphaS5,2025,brand new,automatic,"₦ 58,000,000"
Acura ILX 2022 Gray,Acura,ILX,2022,foreign used,automatic,"₦ 23,000,000"
Lexus GX 460 Luxury 2016 Black,Lexus,GX 460,2016,local used,automatic,"₦ 35,000,000"
Lexus RX 350 AWD 2019 Blue,Lexus,RX 350,2019,foreign used,automatic,"₦ 47,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Gray,Toyota,Camry LE,2008,local used,automatic,"₦ 5,700,000"
Mercedes-Benz C300 2014 White,Mercedes-Benz,C300,2014,foreign used,automatic,"₦ 11,800,000"
Lexus RX 2009 Silver,Lexus,RX,2009,local used,automatic,"₦ 6,900,000"
Toyota Camry 2011 Gold,Toyota,Camry,2011,local used,automatic,"₦ 7,000,000"
Honda Accord 2009 Gray,Honda,Accord,2009,local used,automatic,"₦ 3,500,000"
Lexus RX 2005 Black,Lexus,RX,2005,local used,automatic,"₦ 4,050,000"
Mercedes-Benz GLK-Class 2010 Blue,Mercedes-Benz,GLK-Class,2010,local used,automatic,"₦ 11,900,000"
Honda Accord 2000 Black,Honda,Accord,2000,local used,automatic,"₦ 1,850,000"
Toyota Venza 2012 Gray,Toyota,Venza,2012,local used,automatic,"₦ 22,500,000"
Toyota Highlander 2016 Blue,Toyota,Highlander,2016,local used,automatic,"₦ 19,750,000"
Honda Pilot 2007 Black,Honda,Pilot,2007,foreign used,automatic,"₦ 10,300,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,Toyota,Avalon XLE,2014,foreign used,automatic,"₦ 14,500,000"
Toyota Corolla 1.8 Advanced 2009 Gray,Toyota,Corolla 1,2009,local used,automatic,"₦ 5,500,000"
Toyota Venza AWD 2011 Black,Toyota,Venza AWD,2011,local used,automatic,"₦ 3,950,000"
New Toyota Land Cruiser LC300 2025 Black,New,Toyota Land,2025,brand new,automatic,"₦ 162,500,000"
Toyota Land Cruiser Prado 2.7 VVT-i 2015 Black,Toyota,Land Cruiser,2015,foreign used,automatic,"₦ 37,500,000"
Toyota Land Cruiser Prado 4.0 2019 Gray,Toyota,Land Cruiser,2019,foreign used,automatic,"₦ 69,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry LE,2015,foreign used,automatic,"₦ 15,500,000"
Audi A7 Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A) 2014 Gray,Audi,A7 Premium,2014,local used,automatic,"₦ 15,000,000"
Honda Pilot 2005 Black,Honda,Pilot,2005,local used,automatic,"₦ 3,700,000"
Honda Accord Crosstour EX-L 2012 Black,Honda,Accord Crosstour,2012,local used,automatic,"₦ 9,200,000"
Toyota Land Cruiser Prado 2.7 VVT-i 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 32,900,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 Black,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 84,900,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6AM) 2010 Red,Toyota,Camry SE,2010,foreign used,automatic,"₦ 11,000,000"
New BYD Qin Plus DM-i 2025 Black,New,BYD Qin,2025,brand new,automatic,"₦ 68,000,000"
Lexus RX 350 FWD 2015 White,Lexus,RX 350,2015,foreign used,automatic,"₦ 27,000,000"
Toyota Corolla 2012 Black,Toyota,Corolla,2012,foreign used,automatic,"₦ 10,500,000"
Lexus LX 570 AWD 2018 Gold,Lexus,LX 570,2018,foreign used,automatic,"₦ 113,000,000"
Toyota Hilux Rogue 4x4 2018 White,Toyota,Hilux Rogue,2018,foreign used,automatic,"₦ 52,000,000"
New Lexus TX 350 Luxury 2025 Black,New,Lexus TX,2025,brand new,automatic,"₦ 190,000,000"
Hyundai Sonata 2016 Black,Hyundai,Sonata,2016,local used,automatic,"₦ 11,900,000"
Honda Accord 2012 Burgundy,Honda,Accord,2012,local used,automatic,"₦ 6,000,000"
Hyundai Elantra 2013 Black,Hyundai,Elantra,2013,foreign used,automatic,"₦ 8,700,000"
Volkswagen Touran 2010 Silver,Volkswagen,Touran,2010,local used,automatic,"₦ 5,000,000"
Lexus RX 2006 Blue,Lexus,RX,2006,local used,automatic,"₦ 9,000,000"
Honda City 2007 Black,Honda,City,2007,local used,automatic,"₦ 3,500,000"
Ford Edge 2010 White,Ford,Edge,2010,local used,automatic,"₦ 4,800,000"
Dodge Challenger 2009 Blue,Dodge,Challenger,2009,local used,automatic,"₦ 7,900,000"
Mercedes-Benz GLE-Class 2015 Black,Mercedes-Benz,GLE-Class,2015,local used,automatic,"₦ 33,000,000"
Toyota Hilux 2009 White,Toyota,Hilux,2009,local used,manual,"₦ 11,500,000"
Toyota RAV4 XLE FWD 2019 Green,Toyota,RAV4 XLE,2019,foreign used,automatic,"₦ 40,000,000"
Acura MDX SUV 4dr FWD (3.5L 6cyl 9A) 2016 Silver,Acura,MDX SUV,2016,foreign used,,"₦ 19,950,000"
Lexus RX 2007 White,Lexus,RX,2007,local used,automatic,"₦ 8,300,000"
BMW 3 Series 316i RWD 2009 Gray,BMW,3 Series,2009,local used,automatic,"₦ 4,820,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry LE,2013,local used,automatic,"₦ 8,200,000"
Hyundai Accent GLS 4dr Sedan (1.6L 4cyl 6A) 2014 Red,Hyundai,Accent GLS,2014,local used,automatic,"₦ 7,000,000"
Toyota Highlander XLE V6 4x2 (3.5L 6cyl 6A) 2016 Black,Toyota,Highlander XLE,2016,local used,automatic,"₦ 19,950,000"
Mercedes-Benz GL-Class GL450 4MATIC 4dr SUV AWD (4.7L 8cyl Turbo 7A),,,,local used,automatic,"₦ 21,400,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Silver,Toyota,Corolla LE,2010,local used,automatic,"₦ 6,950,000"
New Toyota Land Cruiser 2022 Black,New,Toyota Land,2022,brand new,automatic,"₦ 173,000,000"
Mercedes-Benz M Class ML 350 4Matic 2008 Green,Mercedes-Benz,M Class,2008,local used,automatic,"₦ 7,000,000"
Honda Odyssey 2.4 2WD 2004 Green,Honda,Odyssey 2,2004,foreign used,automatic,"₦ 6,000,000"
Lexus RX 350 2011 Silver,Lexus,RX 350,2011,local used,automatic,"₦ 14,800,000"
Mercedes-Benz GL-Class GL 450 2007 Black,Mercedes-Benz,GL-Class GL,2007,local used,automatic,"₦ 5,700,000"
Lexus RX 350 2011 Silver,Lexus,RX 350,2011,local used,automatic,"₦ 15,100,000"
Mercedes-Benz C400 4Matic AWD Sedan (3.0L V6 7A) 2015 White,Mercedes-Benz,C400 4Matic,2015,foreign used,automatic,"₦ 27,200,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry SE,2016,foreign used,automatic,"₦ 16,500,000"
Hyundai Santa Fe Limited 4dr SUV AWD (3.3L 6cyl 6A) 2015 Silver,Hyundai,Santa Fe,2015,foreign used,automatic,"₦ 19,200,000"
Hyundai Tucson Eco AWD 2017 White,Hyundai,Tucson Eco,2017,foreign used,automatic,"₦ 19,800,000"
Acura MDX 2009 Red,Acura,MDX,2009,local used,automatic,"₦ 6,000,000"
Honda Accord Sedan EX 2004 Black,Honda,Accord Sedan,2004,local used,automatic,"₦ 2,500,000"
Mercedes-Benz GL-Class GL550 4MATIC 4dr SUV AWD (4.7L 8cyl Turbo 7A) Silver,,,,local used,automatic,"₦ 20,000,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2017 Gray,Toyota,Highlander Limited,2017,foreign used,automatic,"₦ 33,500,000"
Jeep Wrangler Sahara 2dr SUV 4WD (3.6L 6cyl 6M) 2014 Black,Jeep,Wrangler Sahara,2014,local used,automatic,"₦ 29,000,000"
Mercedes-Benz G-Class Base G 500 AWD 2007 Green,Mercedes-Benz,G-Class Base,2007,local used,automatic,"₦ 29,700,000"
Toyota Land Cruiser Prado 4.0 Petrol GX-R 2013 Black,Toyota,Land Cruiser,2013,local used,automatic,"₦ 32,500,000"
Toyota Sienna 2007 Blue,Toyota,Sienna,2007,foreign used,automatic,"₦ 9,800,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,local used,automatic,"₦ 10,500,000"
Mercedes-Benz M Class 2013 White,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 20,000,000"
Toyota RAV4 2014 Gray,Toyota,RAV4,2014,foreign used,automatic,"₦ 19,050,000"
Mercedes-Benz C230 2005 Silver,Mercedes-Benz,C230,2005,local used,automatic,"₦ 3,950,000"
